f,eta,valid,dev_macro_chi2_per_point,dev_macro_delta_chi2_per_point,dev_improved_count,dev_worsened_count
0.0,0.03125,True,1.0010746505313273,0.0,0,0
0.05,0.03125,True,1.0003734632110277,-0.0007011873202995567,9,2
0.1,0.03125,True,0.9996812772558623,-0.0013933732754649597,9,2
0.2,0.03125,True,0.9983239742812448,-0.0027506762500825177,9,2
0.3,0.03125,True,0.9970028728423341,-0.004071777688993139,9,2
0.4,0.03125,True,0.9957181067160835,-0.005356543815243753,9,2
0.5,0.03125,True,0.9944698123030861,-0.0066048382282412055,9,2
0.6,0.03125,True,0.9932581287127196,-0.007816521818607702,9,2
0.75,0.03125,True,0.9915095598291157,-0.009565090702211565,9,2
1.0,0.03125,True,0.9887803846660345,-0.012294265865292808,8,3
0.0,0.0625,True,1.0010746505313273,0.0,0,0
0.05,0.0625,True,0.9986348488645919,-0.0024398016667354083,11,0
0.1,0.0625,True,0.9962260182089362,-0.004848632322391078,10,1
0.2,0.0625,True,0.9915022085656342,-0.009572441965693068,10,1
0.3,0.0625,True,0.9869051520736978,-0.014169498457629492,10,1
0.4,0.0625,True,0.9824368687230277,-0.01863778180829956,10,1
0.5,0.0625,True,0.9780994747855337,-0.022975175745793552,10,1
0.6,0.0625,True,0.9738951902999348,-0.027179460231392505,10,1
0.75,0.0625,True,0.9678434781846331,-0.03323117234669415,10,1
1.0,0.0625,True,0.9584576719937591,-0.042616978537568184,10,1
0.0,0.125,True,1.0010746505313273,0.0,0,0
0.05,0.125,True,0.9957443443598948,-0.005330306171432486,9,2
0.1,0.125,True,0.9905944822266075,-0.010480168304719761,9,2
0.2,0.125,True,0.9808447518630437,-0.02022989866828362,9,2
0.3,0.125,True,0.9718436013521541,-0.029231049179173185,9,2
0.4,0.125,True,0.9636106025990585,-0.03746404793226876,9,2
0.5,0.125,True,0.9561669547575312,-0.04490769577379605,9,2
0.6,0.125,True,0.9495357214849581,-0.05153892904636914,9,2
0.75,0.125,True,0.9411679842352135,-0.05990666629611374,9,2
1.0,0.125,True,0.9316796427798709,-0.06939500775145635,9,2
0.0,0.25,True,1.0010746505313273,0.0,0,0
0.05,0.25,True,0.9912438394189519,-0.009830811112375382,10,1
0.1,0.25,True,0.9828253325597934,-0.01824931797153384,10,1
0.2,0.25,True,0.9702865362895228,-0.0307881142418045,10,1
0.3,0.25,True,0.9635873702450538,-0.03748728028627346,10,1
0.4,0.25,True,0.9628686065425224,-0.038206043988804894,9,2
0.5,0.25,True,0.9682848577456497,-0.03278979278567762,9,2
0.6,0.25,True,0.9800073969773422,-0.021067253553985088,9,2
0.75,0.25,True,1.0098415679438657,0.008766917412538433,7,4
1.0,0.25,True,1.0942226933971273,0.09314804286580003,5,6
0.0,0.5,True,1.0010746505313273,0.0,0,0
0.05,0.5,True,0.9894762254043669,-0.01159842512696041,10,1
0.1,0.5,True,0.9878281237942859,-0.013246526737041409,9,2
0.2,0.5,True,1.0148865312014994,0.013811880670172139,8,3
0.3,0.5,True,1.0833059399575857,0.08223128942625846,6,5
0.4,0.5,True,1.1942296424475218,0.19315499191619456,5,6
0.5,0.5,True,1.3489041067436331,0.3478294562123059,5,6
0.6,0.5,True,1.5487000745399022,0.547625424008575,5,6
0.75,0.5,True,1.9363819481078288,0.9353072975765016,5,6
1.0,0.5,True,2.832908411983724,1.8318337614523965,4,7
0.0,1.0,True,1.0010746505313273,0.0,0,0
0.05,1.0,True,1.009982390176926,0.008907739645598767,7,4
0.1,1.0,True,1.0749514721582543,0.07387682162692699,6,5
0.2,1.0,True,1.377445683095472,0.3763710325641447,5,6
0.3,1.0,True,1.9177969005118847,0.9167222499805574,5,6
0.4,1.0,True,2.706131791788611,1.705057141257284,2,9
0.5,1.0,True,3.753626725281398,2.7525520747500707,2,9
0.6,1.0,True,5.072720620799223,4.0716459702678955,2,9
0.75,1.0,True,7.59172981974615,6.5906551692148225,1,10
1.0,1.0,True,13.378177411819253,12.377102761287926,0,11
0.0,2.0,True,1.0010746505313273,0.0,0,0
0.05,2.0,True,1.1045902369634162,0.10351558643208891,5,6
0.1,2.0,True,1.4465865000546634,0.4455118495233361,3,8
0.2,2.0,True,2.875970253883878,1.8748956033525508,1,10
0.3,2.0,True,5.3538425371948115,4.352767886663484,0,11
0.4,2.0,True,8.953486915875693,7.952412265344366,0,11
0.5,2.0,True,13.758840024598731,12.757765374067404,0,11
0.6,2.0,True,19.867190499592258,18.866115849060932,0,11
0.75,2.0,True,31.729165542071097,30.72809089153977,0,11
1.0,2.0,True,60.01803150753528,59.01695685700395,0,11
0.0,4.0,True,1.0010746505313273,0.0,0,0
0.05,4.0,True,1.3251810481620157,0.3241063976306884,0,11
0.1,4.0,True,2.327474412424952,1.3263997618936247,0,11
0.2,4.0,True,6.492772759668341,5.491698109137014,0,11
0.3,4.0,True,13.776810719381865,12.775736068850538,0,11
0.4,4.0,True,24.512050948250987,23.51097629771966,0,11
0.5,4.0,True,39.09955550478751,38.09848085425618,0,11
0.6,4.0,True,58.03225271068313,57.0311780601518,0,11
0.75,4.0,True,95.98331938402254,94.98224473349121,0,11
1.0,4.0,True,193.0748487683434,192.07377411781206,0,11
0.0,8.0,True,1.0010746505313273,0.0,0,0
0.05,8.0,True,1.594446843621107,0.5933721930897797,0,11
0.1,8.0,True,3.4218746354914726,2.420799984960145,0,11
0.2,8.0,True,11.073055163003438,10.071980512472111,0,11
0.3,8.0,True,24.623580635617397,23.62250598508607,0,11
0.4,8.0,True,44.90239981431018,43.90132516377885,0,11
0.5,8.0,True,72.95916792370008,71.95809327316876,0,11
0.6,8.0,True,110.15909214904656,109.15801749851524,0,11
0.75,8.0,True,187.31475395914748,186.31367930861614,0,11
1.0,8.0,True,402.38208813992327,401.38101348939193,0,11
